2025-12-21 10:14:58,357 INFO: Encoding: task 1 of 1, 84.79 % (390.64 fps, avg 382.34 fps, ETA 00h00m31s)
2025-12-21 10:14:58,558 INFO: Encoding: task 1 of 1, 84.89 % (390.64 fps, avg 382.34 fps, ETA 00h00m31s)
2025-12-21 10:14:58,758 INFO: Encoding: task 1 of 1, 84.99 % (390.64 fps, avg 382.34 fps, ETA 00h00m31s)
2025-12-21 10:14:58,958 INFO: Encoding: task 1 of 1, 85.09 % (390.64 fps, avg 382.34 fps, ETA 00h00m31s)
2025-12-21 10:14:59,158 INFO: Encoding: task 1 of 1, 85.18 % (383.49 fps, avg 382.23 fps, ETA 00h00m30s)
2025-12-21 10:14:59,358 INFO: Encoding: task 1 of 1, 85.27 % (383.49 fps, avg 382.23 fps, ETA 00h00m30s)
2025-12-21 10:14:59,558 INFO: Encoding: task 1 of 1, 85.37 % (383.49 fps, avg 382.23 fps, ETA 00h00m30s)
2025-12-21 10:14:59,759 INFO: Encoding: task 1 of 1, 85.48 % (383.49 fps, avg 382.23 fps, ETA 00h00m30s)
2025-12-21 10:14:59,959 INFO: Encoding: task 1 of 1, 85.58 % (383.49 fps, avg 382.23 fps, ETA 00h00m30s)
2025-12-21 10:15:00,159 INFO: Encoding: task 1 of 1, 85.67 % (381.14 fps, avg 382.20 fps, ETA 00h00m29s)
2025-12-21 10:15:00,359 INFO: Encoding: task 1 of 1, 85.76 % (381.14 fps, avg 382.20 fps, ETA 00h00m29s)
2025-12-21 10:15:00,559 INFO: Encoding: task 1 of 1, 85.88 % (381.14 fps, avg 382.20 fps, ETA 00h00m29s)
2025-12-21 10:15:00,759 INFO: Encoding: task 1 of 1, 85.97 % (381.14 fps, avg 382.20 fps, ETA 00h00m29s)
2025-12-21 10:15:00,960 INFO: Encoding: task 1 of 1, 86.06 % (381.14 fps, avg 382.20 fps, ETA 00h00m29s)
2025-12-21 10:15:01,160 INFO: Encoding: task 1 of 1, 86.20 % (375.08 fps, avg 382.21 fps, ETA 00h00m28s)
2025-12-21 10:15:01,360 INFO: Encoding: task 1 of 1, 86.26 % (375.08 fps, avg 382.21 fps, ETA 00h00m28s)
2025-12-21 10:15:01,560 INFO: Encoding: task 1 of 1, 86.39 % (375.08 fps, avg 382.21 fps, ETA 00h00m28s)
2025-12-21 10:15:01,761 INFO: Encoding: task 1 of 1, 86.46 % (375.08 fps, avg 382.21 fps, ETA 00h00m28s)
2025-12-21 10:15:01,961 INFO: Encoding: task 1 of 1, 86.57 % (375.08 fps, avg 382.21 fps, ETA 00h00m28s)
2025-12-21 10:15:02,161 INFO: Encoding: task 1 of 1, 86.67 % (382.05 fps, avg 382.22 fps, ETA 00h00m27s)
2025-12-21 10:15:02,361 INFO: Encoding: task 1 of 1, 86.78 % (382.05 fps, avg 382.22 fps, ETA 00h00m27s)
2025-12-21 10:15:02,561 INFO: Encoding: task 1 of 1, 86.87 % (382.05 fps, avg 382.22 fps, ETA 00h00m27s)
2025-12-21 10:15:02,761 INFO: Encoding: task 1 of 1, 86.96 % (382.05 fps, avg 382.22 fps, ETA 00h00m27s)
2025-12-21 10:15:02,962 INFO: Encoding: task 1 of 1, 87.08 % (382.05 fps, avg 382.22 fps, ETA 00h00m27s)
2025-12-21 10:15:03,162 INFO: Encoding: task 1 of 1, 87.16 % (382.05 fps, avg 382.22 fps, ETA 00h00m27s)
2025-12-21 10:15:03,362 INFO: Encoding: task 1 of 1, 87.27 % (383.90 fps, avg 382.23 fps, ETA 00h00m26s)
2025-12-21 10:15:03,562 INFO: Encoding: task 1 of 1, 87.36 % (383.90 fps, avg 382.23 fps, ETA 00h00m26s)
2025-12-21 10:15:03,762 INFO: Encoding: task 1 of 1, 87.45 % (383.90 fps, avg 382.23 fps, ETA 00h00m26s)
2025-12-21 10:15:03,962 INFO: Encoding: task 1 of 1, 87.55 % (383.90 fps, avg 382.23 fps, ETA 00h00m26s)
2025-12-21 10:15:04,162 INFO: Encoding: task 1 of 1, 87.67 % (383.90 fps, avg 382.23 fps, ETA 00h00m26s)
2025-12-21 10:15:04,363 INFO: Encoding: task 1 of 1, 87.76 % (383.82 fps, avg 382.24 fps, ETA 00h00m24s)
2025-12-21 10:15:04,563 INFO: Encoding: task 1 of 1, 87.87 % (383.82 fps, avg 382.24 fps, ETA 00h00m24s)
2025-12-21 10:15:04,763 INFO: Encoding: task 1 of 1, 87.95 % (383.82 fps, avg 382.24 fps, ETA 00h00m24s)
2025-12-21 10:15:04,963 INFO: Encoding: task 1 of 1, 88.07 % (383.82 fps, avg 382.24 fps, ETA 00h00m24s)
2025-12-21 10:15:05,163 INFO: Encoding: task 1 of 1, 88.16 % (383.82 fps, avg 382.24 fps, ETA 00h00m24s)
2025-12-21 10:15:05,363 INFO: Encoding: task 1 of 1, 88.28 % (385.87 fps, avg 382.29 fps, ETA 00h00m23s)
2025-12-21 10:15:05,564 INFO: Encoding: task 1 of 1, 88.37 % (385.87 fps, avg 382.29 fps, ETA 00h00m23s)
2025-12-21 10:15:05,764 INFO: Encoding: task 1 of 1, 88.46 % (385.87 fps, avg 382.29 fps, ETA 00h00m23s)
2025-12-21 10:15:05,964 INFO: Encoding: task 1 of 1, 88.56 % (385.87 fps, avg 382.29 fps, ETA 00h00m23s)
2025-12-21 10:15:06,164 INFO: Encoding: task 1 of 1, 88.68 % (385.87 fps, avg 382.29 fps, ETA 00h00m23s)
2025-12-21 10:15:06,364 INFO: Encoding: task 1 of 1, 88.77 % (387.28 fps, avg 382.32 fps, ETA 00h00m22s)
